% C. CONSOLIDATED & CALIBRATED FACULAR COUNTS FOR THE NORTH POLE BY NEIL SHEELEY JR. AND ANDRES MUNOZ-JARAMILLO
%
% VERSION 2 - Please indicate version used in scientific publications in case of changes.
%
% Faculae counted by hand on the best 5 images during the periods of maximum North pole coverage
% (August 15-September 15) and averaged.  Standard deviation has been turned into standard error by
% dividing it by sqrt(5).  Years with multiple observations have been averaged as well as their
% their standard errors.
%
% Calibration between campaigns was made taking advantage of the overlaps between them.   All campaigns
% were standardized to the values of the 3rd campaign in order to reduce error propagation.
% Calibration factors used were:
%
% 1. To turn 1st campaign values into 2nd campaign:  0.8733 +/- 0.0343
% 2. To turn 2nd campaign values into 3rd campaign:  0.7293 +/- 0.1918
% 3. To turn 4th campaign values into 3rd campaign:  1.6601 +/- 0.1861
%
% Original papers reporting the different data reduction campaigns are:
%
% 1st Campaign:
% Sheeley N. R. Jr. 1964 ApJ 140 731
% Sheeley N. R. Jr. 1966 ApJ 144 723
%
% 2nd Campaign:
% Sheeley N. R. Jr. 1976 J. Geophys. Res. 81 3462
%
% 3rd Campagin:
% Sheeley N. R. Jr. 1991 ApJ 374 386
%
% 4th Campagin:
% Sheeley N. R. Jr. 2008 ApJ 680 1553
%
% Details on the consolidation and calibration of the different campaigns can be found in:
%
% A. Munoz-Jaramillo, N. R. Sheeley, Jr., J. Zhang, and E. E. DeLuca
% CALIBRATING 100 YEARS OF POLAR FACULAE MEASUREMENTS: IMPLICATIONS
% FOR THE EVOLUTION OF THE HELIOSPHERIC MAGNETIC FIELD
% ApJ, 753, 146. (2012)  doi:10.1088/0004-637X/753/2/146
%
% Paper available from:
% http://www.solardynamo.org/docs/Munoz-Jaramillo_etal_ApJ2012.pdf
% 
%
% First column indicates time of measurement, all other columns alternate between facular count (Count)
% and standard error of the mean (SEM).  The first number on each column indicates the campaign (Cm) it belongs to.
% For example, 1st_Cm- Count indicates the count of polar faculae (Ct) in the first campaign (Cm).  3rd_Cm - SE
% indicates the standard error of the mean (SEM) of facular count in the third campaign (Cm) 
%
% FOR INFORMATION AND INQUIRIES, PLEASE VISIT:  www.solardynamo.org
%
% Created on 11-Nov-2015
%
%     Date (Yrs)   1st_Cm- Count    1st_Cm - SEM   2nd_Cm- Count    2nd_Cm - SEM   3rd_Cm- Count    3rd_Cm - SEM   4th_Cm- Count    4th_Cm - SEM
   1.9446658e+03  -3.2354403e+01   8.7972789e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9456658e+03  -2.3692594e+01   6.5023540e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9466658e+03  -1.6623030e+01   5.2816858e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9476658e+03  -4.4582838e+00   1.3214915e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9486658e+03  -3.1844884e-01   2.5648625e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9496658e+03   7.0058746e-01   2.9432387e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9506658e+03   2.5475908e+00   9.8282992e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9516658e+03   2.3947353e+01   7.5133213e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9526658e+03   3.9615036e+01   1.0799126e+01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9536658e+03   2.6176495e+01   7.2365733e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9546658e+03   2.6940772e+01   7.3615151e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9556658e+03   2.3628904e+01   6.6455730e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9566658e+03   1.2292125e+01   3.5161304e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9576658e+03   2.6112805e+00   1.0361272e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9586658e+03   3.3118680e+00   1.0975962e+00             NaN             NaN             NaN             NaN             NaN             NaN
   1.9596658e+03  -1.7833135e+00   6.8798094e-01             NaN             NaN             NaN             NaN             NaN             NaN
   1.9606658e+03  -3.1526436e+01   8.5760406e+00  -3.1797480e+01   8.6034966e+00             NaN             NaN             NaN             NaN
   1.9616658e+03  -4.1844178e+01   1.1402428e+01  -4.1861820e+01   1.1193490e+01             NaN             NaN             NaN             NaN
   1.9626658e+03  -3.1653815e+01   9.1280033e+00  -3.0338880e+01   8.6446431e+00             NaN             NaN             NaN             NaN
   1.9636658e+03  -1.4584957e+01   4.3870950e+00  -1.5315300e+01   4.1608244e+00             NaN             NaN             NaN             NaN
   1.9646658e+03             NaN             NaN  -1.8232500e+01   5.0753184e+00             NaN             NaN             NaN             NaN
